Type of Review,Name,Classification,Company,Distillery,Release Date,Proof,Age,Mashbill,Color,MSRP,Website,Nose,Palate,Finish,Overall,Overall Rating,Written By,Link
Capsule Review,William Larue Weller (2020),Classification: Straight Bourbon,Company: Sazerac Company,Distillery: Buffalo Trace,Release Date: September 2020 (Annual release),Proof: 134.5,"Age: 12 Years, 6 Months",Mashbill: Undisclosed,Color: Cherry Wood,MSRP: $99 (2020),Official Website,Bright cherry | Soft wheat | Sweet baked dough | Light oak | Ethanol | Brown sugar | Inviting,Cherry syrup | Red fruits | Brown sugar | Syrup soaked raisins | Baking spice | Dry oak | Mouth coating,Oak | Bold spice | Touch of tobacco leaf | Lingering leather and oak | Mouth enveloping heat throughout | Lingering,"William Larue Weller (WLW) is never shy about its brash proof, and this year it’s even more amplified by the fact that this is the highest proof expression in this year's Collection. It also happens to be the only wheated bourbon in the Collection, which allows it to stand out even more. This year's release embraces all of these unique traits and delivers a pour that will please WLW fans. It’s full of rich flavors and hugs you with a tight heat throughout the entire sip. The competition for high proof wheated bourbon has certainly increased over the years, in particular with Maker Mark’s cask strength offerings and Heaven Hill’s limited edition Old Fitzgerald and Larceny barrel proof lines. However, William Larue Weller is still the gold standard to beat, and this year's release continues this mark for another year.",4,Jordan,https://www.breakingbourbon.com/review/william-larue-weller-2020
,Balcones Mirador Single Malt Whisky,Classification: Malt Whiskey,Company: Balcones Distilling,Distillery: Balcones Distilling,Release Date: March 2020 (Annual Release),Proof: 112.2,Age: Aged at least 36 months,Mashbill: 100% Malt,Color: Hay,MSRP: $80,Official Website,Toasted oak | Light smoke | Chocolate bark | Ripe summer fruits | Hard butterscotch candies | Soft and inviting,Grape skin | Grilled peaches | Light leather | Earthy | Charred wood | Vanilla | Light butterscotch | Full of subtle flavors,Light oak | Dry vanilla | Light tobacco | Light leather | Light and lingering,"Balcones Mirador is an annual release that uses a blend of malt whiskeys aged in used barrels. This imparts less dominant oak flavors than you’d see with new charred oak barrel aging, instead allowing the whiskey to develop more nuanced flavors. This is Texas in a glass, instantly transporting me to a field on a hot summer Texas day. It’s easy drinking for the proof, and each sip allows you to pull out more flavors. The bottle being reviewed is from Batch MIR 20-1 with what looks like a (faded) stated date of 3.9.20.",3.5,Jordan,https://www.breakingbourbon.com/review/balcones-mirador
,Bardstown Bourbon Company Discovery Series #2,Classification: Straight Bourbon,Company: Bardstown Bourbon Company,Distillery: Sourced (From an undisclosed distillery[ies] in Kentucky),Release Date: December 2019,Proof: 122.2,"Age: Blend of 10, 12, and 14 Year Straight Bourbons","Mashbill: 44% 10 Year: 75% Corn, 13% Rye, 12% Malted Barley; 39% 12 Year: 74% Corn, 18% Rye, 8% Malted Barley; 17% 14 Year: 78% Corn, 10% Rye, 12% Malted Barley",Color: Bronze,MSRP: $130 (2020),Official Website,Aged oak | Brown sugar | Dash of cinnamon | Light butterscotch | Slight ethanol | Classic bourbon notes,Dry oak | Candied sugar | Light rye grain | Vanilla,Leather | Cinnamon | Sweet vanilla | Dry oak | Lingering sweet & heat,"A blend of double digit aged Kentucky bourbons over 120 proof is a rarity nowadays. Discovery Series #2 doesn’t disappoint for those who like higher aged, higher proof bourbons. The age shows through with oak being a dominant trait. However, it’s nicely balanced by more subtle classic sweeter flavors which allow the sip to produce a more distinguished well-rounded flavor profile.",3.5,Jordan,https://www.breakingbourbon.com/review/bardstown-bourbon-company-discovery-series-2
,Barrell Armida,"Classification: Bourbon Whiskeys Finished in Pear Brandy, Jamaican Rum, and Sicilian Amaro Casks",Company: Barrell Craft Spirits,Distillery: Undisclosed distillery(ies) in Tennessee,Release Date: October 2020,Proof: 112.10,Age: NAS,Mashbill: Undisclosed,Color: Deep Rose Gold,MSRP: $90 (2020),Official Website,Ripe pear up front | Floral | Light vanilla & caramel in the background | Exceptionally fragrant,Ripe pear | Mix of dark fruits | Anise | Sweet molasses | Baking spices | Rich & full of flavor with a dynamic shift from fruit to sweet-spicy notes,Tobacco | Seasoned oak | Hint of aged oak | Slight dryness | Medium length,"The release is comprised of only 3,700 bottles, and is a blend of three straight bourbons, separately finished in Pear Brandy, Jamaican Rum, and Sicilian Amaro casks. While each of these individual finishes has been done before, they are still just making their way into bourbon finishing and as a result are rather rare. Moreover, the combination of blending these three finishes into a single blend results in one of the more interesting creations ever attempted with bourbon. Like the unique name for this product, which was inspired by company founder Joe Beatrice’s mother’s formal name, the resulting flavor profile is as unique as it sounds.

I was initially shocked by Armida, as it delivers a combination of flavors I can confidently say I have never experienced in a whiskey. In fact, I had to revisit a number of times to ground myself in what I was experiencing, and in-so-doing found myself really enjoying this intriguing blend. As you journey through this whiskey from its aroma to its palate and finally to its finish, you realize it’s on an entirely different level. The integration of the three separately finished bourbons not only exposes, but rather highlights qualities of all three finishes in a rather potent form. Despite the gripping intensity of the finishes however, the underlying bourbon offers just enough structure to tie everything together. Armida is such a complex and unexpected combination of flavors it will challenge even the most experienced whiskey drinkers.",3.5,Nick,https://www.breakingbourbon.com/review/barrell-armida
,Barrell Bourbon Batch 023,Classification: Bourbon,Company: Barrell Craft Spirits,"Distillery: Sourced (from undisclosed distilleries in Tennessee, Kentucky, and Indiana)",Release Date: February 2020,Proof: 107.78,"Age: 10 Years (Blend of 10, 12, and 15 year old barrels per company website)","Mashbill: Corn, Rye, and Malted Barley (undisclosed percentages)",MSRP: $90 (2020),Official Website,"Batch 023 is Barrell Craft Spirits’ latest release in their flagship Barrell Bourbon product line. Set to reach markets as early as February 2020, this batch blends bourbons from three states with a minimum age of 10 years, though the blend includes 10, 12, and 15 year old barrels with an interesting batching process. First, the 10 and 12 year old barrels were blended together and left to mingle. After a few months, 15 year old barrels were layered into the batch with the intent of bringing more complexity to the overall blend.

With past Barrell Bourbon batches ranging from 5 to 13 years old, Batch 023 comes in on the older side when compared with past batches considering its 10 year age statement. It also comes in on the lower proof side, with past batches ranging from Batch 016’s 105.8 to Batch 008’s whopping 132.84 proof. Notably, Barrell Bourbon is always released at barrel proof.","A waft of brown sugar gives way to caramel, oak, and baking spices. Warm buttery cornbread peeks through, along with a trace of cinnamon. Inviting, but somewhat mild in intensity given the proof.","Spicy notes take the lead, with a mix of baking spices, cinnamon, summer fruit, and black peppercorns. It’s medium-bodied mouthfeel coats the tongue nicely, allowing burnt brown sugar and toasted caramel to come forward. A touch of tobacco comes into play on the backend, along with a bit of heat.","Cinnamon spice crescendos, with baking spices and raw grain in tow. The spice hangs on the tongue, and a slight dry leather note materializes towards the end. Medium length and pleasant.","Batch 023 reminded me a bit of Barrell’s recent Batch 021. The two share the same source states, along with very similar proof and 10 year age statements. I really enjoyed Batch 021, and found myself enjoying Batch 023 as well. By comparison, Batch 021 leans a bit more towards the traditional caramel-vanilla-oak bourbon flavor profile, while Batch 023 is more spice heavy with traces of cornbread, grain, and summer fruit in the mix along with providing a bigger spice pop. As Joe Beatrice and Tripp Stimson of Barrell Craft Spirits go to great lengths to make every batch different, Batch 023 once again succeeds in providing quintessential Barrell Bourbon characteristics that I’ve come to love, but with its own unique spin.

The sample used for this review was provided at no cost courtesy of Barrell Craft Spirits. We thank them for the sample and for allowing us to review it with no strings attached.",3.5,Nick,https://www.breakingbourbon.com/review/barrell-bourbon-batch-023
,Barrell Bourbon Batch 024,Classification: Blend of Straight Bourbons,Company: Barrell Craft Spirits,"Distillery: Sourced (from undisclosed distilleries in Indiana, Tennessee, and Kentucky)",Release Date: April 2020,Proof: 113.9 (Cask Strength),"Age: 9 Years (Blend of 9, 10, 13, and 15 year old barrels per company website)",Mashbill: Undisclosed,Color: Golden Molasses,MSRP: $80 (2020),Official Website,Rich caramel | Green apple | Pear | Pine | Almond| Fresh tobacco | Oak | Impressive,Dark chocolate | Black cherry soda | Marzipan | Dark brown sugar | Rich oak,Bitter chocolate | Black pepper | Minor clove | Delayed aftertaste of cherry cough syrup | Thick oak,"Barrell Bourbon Batch 024 starts off with an impressive array of scents that balances sweet and savory with heavy oak and a punch of sweetness. The palate in turn transitions into a heavier ordeal of darker and richer flavors. The finish takes it a step further, leaning into pepper and bitterness. This isn’t one of the sweet and fruity batches from Barrell that they’re known for, but instead goes in the opposite direction. Providing a nice contrast to those batches, Batch 024 is yet another impressive blend by Barrell Craft Spirits that also makes for a great cigar bourbon.",3.5,Eric,https://www.breakingbourbon.com/review/barrell-bourbon-batch-024
Capsule Review,Brownstone Whiskey Batch 1,Malt Whiskey,Breuckelen Distilling Company,Breuckelen Distilling,March 2020,100,6 Years,100% Malted Barley,Rich Bronze,$70 (2020),,Floral | Brown sugar | Ripe green grapes | Heavey toasted barley | Delightful combination,Dry oak | Light cherry | Orange zest | Brown sugar,Leather | Dry vanilla beans | Oaky | Floral undertone,"Brownstone joins a growing American malt revolution that has slowly been developing over the last few years. Delivering a unique and well rounded flavor profile, Batch 1 was limited to only 1,000 bottles. For those who are used to bourbon or rye, Brownstone is a nice gateway into the world of malts. The sweeter flavors play well, yet there is enough oak influence, especially in the finish, to please most.",3.5,Jordan,https://www.breakingbourbon.com/review/brownstone-whiskey-batch-1
,Charbay Double & Twisted,Classification: Straight Malt Whiskey and Hop Flavored Whiskey,Company: Charbay Distillery,Distillery: Charbay Distillery,Release Date: Ongoing,Proof: 90,"Age: NAS (Website states blend of 4 year straight malt whiskey [50%], 8 year stout whiskey [30%], and 4 year pilsner whiskey [20%])",Mashbill: Undisclosed,Color: Light Gold,MSRP: $50 (2020),Official Website,Apples | Cinnamon | Summer fruit | Baking spices | Light & interesting,Nutmeg | Clove | Malty | Pilsner beer | Pop of spice,Cinnamon | Clove | Beer | Lingering baking spices,"An interesting blend of malt, stout, and pilsner whiskeys, this combination allows the unique flavors brought forth by the beer distillates to show through without entirely overpowering the sip. It has fantastic balance with a lively, but developed flavor profile. While there isn’t a hint of oak, the time spent in barrels and overall blend keeps the flavors in check, allowing the components to shine without any one overdoing it. Quite unique and delicious overall.",3.5,Nick,https://www.breakingbourbon.com/review/charbay-double-twisted
,Charbay R5 Lot No. 5,Classification: Hop Flavored Whiskey,Company: Charbay Distillery,Distillery: Charbay Distillery,Release Date: 2019,Proof: 99,Age: NAS (Brand material states 5 years),Mashbill: Undisclosed,Color: Yellow Straw,MSRP: $60,Official Website,Huge dose of wild grapes on a vine | Hints of mellon | Fresh & unexpected,Baking chocolate | Sweet mellon | Light ground pepper | Earthy tones | Complex and incredibly intriguing,Oak | Earthy tones | Vine grapes | Hint of hay | Lingering,"There are intriguing whiskeys and then there is Charbay R5 Lot 5. This is the 5th release of Charbay R5 and it is composed of a 10 barrel run that is double-distilled from Bear Republic Brewery's award-winning Racer 5 IPA beer (7% ABV). This latest batch was distilled in 2013 and aged for 5 years.

Lot 5 is one of the more complex and intriguing whiskeys on the market. It combines an incredibly fresh and sweet nose with a more earthy and complex palate. The sip ends with a combo of both earthy and sweet, and makes you sit back and ponder how this was created. It is unlike anything else being produced in the American whiskey market and will instantly be a love-it or hate-it whiskey for most. To me this is one of the most challenging and different whiskeys I’ve tried, and I love that it pushes you to really ponder it. If you’re looking to expand your knowledge of what can constitute a whiskey, look no further than Charbay R5 Lot 5.",3.5,Jordan,https://www.breakingbourbon.com/review/charbay-r5-lot-no-5
Capsule Review,Coppercraft Rye Whiskey,Rye,Coppercraft Distillery,Coppercraft Distillery & Undisclosed Distillery[ies],Ongoing,90,NAS (Website states 2+ years),Undisclosed,Copper,$43,,Rye spice | Baking spice | Tobacco leaves | Oak | Light menthol | Intriguing,Rye spice | Peppercorn | Sweet vanilla | Honey | Cinnamon | Dried raisins & cherries | Pine | Oak | Full of flavor,Oak | Light rye grain | Baking spices | Hint of marshmallow | Leather | Lingering combination of sweet and dry flavors,"Coppercraft Rye is bursting with flavor right from the start. The entire sip is a combination of traditional rye spice that mingles nicely with a wide range of flavors. While the ratio of the blend between in-house distillate and sourced rye barrels isn’t disclosed, the combination works well in this case. Despite being only 2+ years old, this rye drinks much older than that. This is a fantastic reminder that young whiskey can hold a lot of surprises.",3.5,Jordan,https://www.breakingbourbon.com/review/coppercraft-rye-whiskey
,Daviess County Kentucky Straight Bourbon Cabernet Sauvignon Finish,Classification: Straight Bourbon Finished in Cabernet Sauvignon Casks,Company: Lux Row Distillers,Distillery: Sourced (From undisclosed distillery[ies]),Release Date: February 2020,Proof: 96,Age: NAS,Mashbill: Undisclosed (Blend of wheated and ryed bourbon mashbills),Color: Amber,MSRP: $45 (2020),Official Website,Creme brulee | Raisin | Dark fruit | Candy apples | Light & inviting,"Caramel | Vanilla | Burnt brown sugar | Cracker Jacks | Rich, velvety mouthfeel",Sweet rush | Cane sugar | Dark fruit | Sweet wine | Light spice,"Part of the re-launch of Daviess County Bourbons by Lux Row Distillers in February, 2020, the Cabernet Sauvignon Finished Bourbon is one of three unique limited edition variants with only 4,000 bottles of each released. In this case, the base blend of wheated and ryed mashbills and 6 month finishing really works well, softening and sweetening the bourbon and yielding a rich, velvety mouthfeel. A dessert whiskey in every sense, this is definitely one to pick up if you happen to come across it.",3.5,Nick,https://www.breakingbourbon.com/review/daviess-county-kentucky-straight-bourbon-cabernet-sauvignon-finish
,Daviess County Kentucky Straight Bourbon French Oak Cask Finish,Classification: Straight Bourbon Finished in French Oak Casks,Company: Lux Row Distillers,Distillery:  Sourced (From undisclosed distillery[ies]),Release Date: February 2020,Proof: 96,Age: NAS,Mashbill: Blend of a wheated and a rye mashbill,Color: Golden Straw,MSRP: $45 (2020),Official Website,"White grape | Wine cellar | Oats | Fresh oak | Musty & weird, but not in a bad way | Very unique",White grape | Pear | Wheat grain | Fresh oak | Light to medium body,Oak | Light malt | Agave | Mild spice on the aftertaste,"This is part of the re-launch of Daviess County Bourbons by Lux Row Distillers in February, 2020. When I read that this bourbon was finished in French Oak cask for six months, I expected a heavy double barrel profile. Instead the opposite is true. It’s surprisingly delicate and its oak notes, which are plentiful, somehow aren't overpowering. In fact they are nicely layered and the French Oak finish puts a fun flavor spin on them. This is a very unique tasting finished bourbon that drinks more like a Scotch.",3.5,Eric,https://www.breakingbourbon.com/review/daviess-county-kentucky-straight-bourbon-french-oak-cask-finish
